feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,delta_happiness,delta_support,delta_income
0.43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.19400005,0.650799,0.3,0.59253436,0.0,0.5894253,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5945862,0.7979341,0.2,0.68858975,0.0,0.7519455,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.87665725,0.91233796,0.1,0.44228154,0.0,0.5963684,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.52346677,0.6258433,0.2,0.47886583,0.0,0.5794449,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13960278,0.552862,0.4,0.39888355,0.0,0.7503662,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6647951,0.84915364,0.6,0.38023233,0.0,0.7505743,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.55666983,0.23410343,0.1,0.61150277,0.0,0.7588869,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9690867,0.6582403,0.2,0.76822543,0.0,0.62084997,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5737808,0.83695036,0.2,0.6845171,0.0,0.8709119,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.15622437,0.42201927,0.2,0.6564404,0.0,0.64088374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5572994,0.07000356,0.5,0.38532218,0.0,0.73449975,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.22234519,0.38138995,0.4,0.63601154,0.0,0.872091,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14087279,0.023160174,0.4,0.32537428,0.0,0.89125437,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.42296728,0.49669212,0.6,0.5831767,0.0,0.5841598,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9568928,0.17862862,0.6,0.7751699,0.0,0.67776805,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.68415195,0.889731,0.1,0.44961506,0.0,0.6537686,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12653661,0.8185174,0.5,0.6440739,0.0,0.6730548,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.49,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.17742954,0.48794448,0.6,0.35115647,0.0,0.6476995,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.094823,0.78805745,0.6,0.48420295,0.0,0.6998368,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.084178545,0.6971916,0.5,0.78433913,0.0,0.73061156,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25059855,0.80102706,0.3,0.6336853,0.0,0.62423235,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.69,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18616247,0.7230606,0.4,0.33662158,0.0,0.62868917,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.69492537,0.6330956,0.3,0.41720915,0.0,0.57736266,0.0,1.0,0.0,0.0,0.0,0.0,0.0
